time,open,high,low,close,volume,ticker
2024-02-26,1223.83,1234.52,1220.3,1233.31,279308070,VN30
2024-02-27,1238.55,1248.24,1235.15,1247.91,359072521,VN30
2024-02-28,1252.14,1265.35,1246.63,1265.35,312645309,VN30
2024-02-29,1268.94,1276.9,1258.26,1265.75,350189805,VN30
2024-03-01,1267.31,1269.07,1258.83,1267.07,277677296,VN30
2024-03-04,1271.05,1275.36,1262.9,1268.53,333754338,VN30
2024-03-05,1269.5,1280.17,1264.84,1280.17,290437530,VN30
2024-03-06,1280.38,1288.06,1264.44,1271.07,322852796,VN30
2024-03-07,1271.63,1279.92,1266.52,1276.56,265623657,VN30
2024-03-08,1277.31,1281.52,1250.2,1250.2,438997600,VN30
